scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os
ThinBook,1000000,run_0,6863488.736857122,145.698498,120,160,520,6520,122601,100000,10,1816,71516,43690,true,linux
ThinBook,1000000,run_1,7217699.635689499,138.548298,120,160,680,6720,33880,100000,10,1816,71380,43452,true,linux
ThinBook,1000000,run_2,7233736.695413077,138.241139,120,160,600,6760,25360,100000,10,1820,71064,43618,true,linux
ThinBook,1000000,run_3,7205978.269810461,138.773663,120,160,560,7080,40480,100000,10,1816,70768,43524,true,linux
ThinBook,1000000,run_4,7396346.6914140545,135.20188299999998,120,160,560,7320,35280,100000,10,1804,70632,43511,true,linux
ThinBook,1000000,run_5,7220376.080364114,138.49694100000002,120,160,560,6840,44200,100000,10,1816,70684,43556,true,linux
ThinBook,1000000,run_6,7284899.571685786,137.270252,120,160,560,7280,35360,100000,10,1804,72008,43647,true,linux
ThinBook,1000000,run_7,7260218.839694331,137.736895,120,160,600,6960,65481,100000,10,1820,71748,43605,true,linux
ThinBook,1000000,run_8,7342287.948556524,136.197328,120,160,560,6560,27080,100000,10,1808,71376,43680,true,linux
ThinBook,1000000,run_9,7165570.671135805,139.556226,120,160,520,6280,31361,100000,10,1820,71436,43546,true,linux
ThinBook,1000000,mean,7219060.314062076,138.5721123,120,160,572,6832,46108.3,100000,10,1814,71261.2,43582.9,true,linux
ThinBook,1000000,stddev,135028.4224630884,2.67021929736013,0,0,44,317.89306378088844,27666.07018371059,0,0,6,439.1630221227648,73.88294796500746,true,linux
ThinBook,10000000,run_0,7062132.339475871,1416.002918,120,200,360,4480,100521,100000,100,1816,691656,336349,true,linux
ThinBook,10000000,run_1,7058872.836884214,1416.656771,120,160,360,5040,77080,100000,100,1816,690080,335898,true,linux
ThinBook,10000000,run_2,7065800.734980776,1415.267763,120,160,360,4280,108441,100000,100,1820,689920,335957,true,linux
ThinBook,10000000,run_3,7024839.784303418,1423.52001,120,160,360,5680,104200,100000,100,1812,689416,335816,true,linux
ThinBook,10000000,run_4,7128767.561497897,1402.7670159999998,120,160,360,5480,500003,100000,100,1820,686724,334843,true,linux
ThinBook,10000000,run_5,6963862.827746474,1435.9846320000001,120,200,360,3920,110121,100000,100,1820,689336,334374,true,linux
ThinBook,10000000,run_6,7091959.28577661,1410.047576,120,160,360,4600,79600,100000,100,1800,692944,336526,true,linux
ThinBook,10000000,run_7,7025764.892037846,1423.3325699999998,120,160,360,4400,113641,100000,100,1816,691512,336367,true,linux
ThinBook,10000000,run_8,7132144.17324761,1402.1028959999999,120,160,360,4320,79321,100000,100,1816,689720,335495,true,linux
ThinBook,10000000,run_9,6894915.256420288,1450.344149,120,200,360,4600,204601,100000,100,1812,691492,336227,true,linux
ThinBook,10000000,mean,7044905.969237101,1419.6026301,120,172,360,4680,147752.9,100000,100,1814.8,690280,335785.2,true,linux
ThinBook,10000000,stddev,69007.1991026491,14.01454254634294,0,18.33030277982336,0,526.1178575186362,122428.40990182792,0,0,5.670978751503131,1635.3289577329692,663.8496516531435,true,linux
ActiveFill,1000000,run_0,13998915.895955186,71.434103,80,160,240,400,614163,100000,10,1816,20596,13280,true,linux
ActiveFill,1000000,run_1,13961086.125032837,71.627665,80,160,240,1160,23880,100000,10,1820,20588,13274,true,linux
ActiveFill,1000000,run_2,13847295.843293808,72.216266,80,160,240,1080,21880,100000,10,1816,20584,13278,true,linux
ActiveFill,1000000,run_3,13794049.434672954,72.495028,80,160,240,1120,27760,100000,10,1816,20584,13276,true,linux
ActiveFill,1000000,run_4,13945891.947452327,71.705704,80,160,240,1160,56840,100000,10,1816,20576,13272,true,linux
ActiveFill,1000000,run_5,14022299.185636746,71.314981,80,160,240,1160,390002,100000,10,1816,20612,13284,true,linux
ActiveFill,1000000,run_6,13849167.552851817,72.206506,80,160,240,1080,796725,100000,10,1820,20576,11402,true,linux
ActiveFill,1000000,run_7,13930808.432814281,71.783343,80,160,240,1120,740644,100000,10,1816,15896,10927,true,linux
ActiveFill,1000000,run_8,13945270.002879139,71.70890200000001,80,160,240,1080,99320,100000,10,1812,20592,13271,true,linux
ActiveFill,1000000,run_9,13920414.373986019,71.83694200000001,80,160,240,1160,24641,100000,10,1816,20588,13273,true,linux
ActiveFill,1000000,mean,13921519.87945751,71.832944,80,160,240,1052,279585.5,100000,10,1816.4,20119.2,12853.7,true,linux
ActiveFill,1000000,stddev,67786.75839908524,0.35048416592536913,0,0,0,219.85449733858073,307646.4734256676,0,0,2.1540659228538015,1407.7679354211757,851.2603655756562,true,linux
ActiveFill,10000000,run_0,14264105.653192146,701.060427,80,160,240,1120,603443,100000,100,1820,105012,56652,true,linux
ActiveFill,10000000,run_1,14221561.997899754,703.157642,80,160,240,1240,139521,100000,100,1816,104888,56590,true,linux
ActiveFill,10000000,run_2,14259585.998131493,701.2826319999999,80,160,240,1160,28120,100000,100,1816,104888,56600,true,linux
ActiveFill,10000000,run_3,14267668.864252923,700.885344,80,160,240,1200,20320,100000,100,1808,104964,56637,true,linux
ActiveFill,10000000,run_4,14245229.506260118,701.989392,80,160,240,1200,8640,100000,100,1808,104916,56607,true,linux
ActiveFill,10000000,run_5,14188192.635463677,704.811406,80,160,240,1200,19680,100000,100,1816,105056,56695,true,linux
ActiveFill,10000000,run_6,14242941.572390012,702.102157,80,160,240,1160,20520,100000,100,1800,105000,56438,true,linux
ActiveFill,10000000,run_7,14258822.350458782,701.32019,80,160,240,1160,791284,100000,100,1808,104992,55326,true,linux
ActiveFill,10000000,run_8,14194252.726063723,704.510494,80,160,240,1160,604283,100000,100,1820,104940,56623,true,linux
ActiveFill,10000000,run_9,14222401.032569071,703.11616,80,160,240,1240,23560,100000,100,1820,104936,56614,true,linux
ActiveFill,10000000,mean,14236476.233668173,702.4235844000001,80,160,240,1184,225937.1,100000,100,1813.2,104959.2,56478.2,true,linux
ActiveFill,10000000,stddev,27244.947651972907,1.3457658419615441,0,0,0,36.66060555964672,294459.48408412666,0,0,6.462197768561405,52.757558700152146,389.22225013480414,true,linux
WorstCaseCross,1000000,run_0,3886065.2458152524,257.329699,120,200,280,22000,101481,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_1,3892463.775194585,256.906694,120,200,280,26000,179201,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_2,3894413.8115479294,256.778054,120,200,280,25920,732644,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_3,3895654.2465366037,256.69629199999997,120,200,280,24480,117161,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_4,3881772.7239305214,257.614258,120,200,280,26360,125280,100000,10,1812,6828,6356,true,linux
