scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,1000000,run_0,3229070.781764333,309.686615,240,320,520,1160,256562,100000,10,39824,157084,112343,true,linux,1,80,123,61147984,81464,52971.4
ThinBook,1000000,run_1,3249612.0296321856,307.729043,200,320,1240,2320,64120,100000,10,39832,156848,112108,true,linux,4,49,139,61118432,149504,115987.8
ThinBook,1000000,run_2,4425309.073653283,225.972917,200,280,520,1320,34200,100000,10,39780,157044,112322,true,linux,1,49,0,61131504,292864,212787.2
ThinBook,1000000,run_3,4498203.453526289,222.310976,200,280,520,1040,28280,100000,10,39832,156920,112164,true,linux,1,80,0,61138240,376832,278732.8
ThinBook,1000000,run_4,4971676.90356485,201.139378,200,280,560,1600,2026011,100000,10,39848,157068,112298,true,linux,0,0,1,61138240,435200,381747.2
ThinBook,1000000,run_5,3795889.8696650085,263.442838,200,280,480,1040,41720,100000,10,39828,157040,112275,true,linux,1,57,2,61151712,338944,279552
ThinBook,1000000,run_6,3776382.449779174,264.803688,240,320,520,1120,32040,100000,10,39908,157104,112374,true,linux,3,47,0,61124768,285696,241356.8
ThinBook,1000000,run_7,4586279.2686711745,218.041672,200,280,480,1000,60281,100000,10,39888,157000,112287,true,linux,3,53,0,61124768,285696,205824
ThinBook,1000000,run_8,4574135.330386181,218.620554,200,320,520,1080,14314798,100000,10,39844,146608,110009,true,linux,1,48,0,61131504,290816,209920
ThinBook,1000000,run_9,4118028.4948464194,242.834648,200,320,1240,2440,39160,100000,10,39924,156728,111952,true,linux,4,60,1,61138240,256000,155136
ThinBook,1000000,mean,4122458.76554889,247.45823289999998,208,300,660,1412,1689717.2,100000,10,39850.8,155944.4,112013.2,true,linux,1.9,52.3,26.6,61134539.2,279301.6,213401.52000000002
ThinBook,1000000,stddev,562108.0150026695,36.08195874219967,16,20,290.79202189881346,512.8898517225701,4249077.069792588,0,0,41.26208913760912,3114.1655447326493,679.0588781541701,true,linux,1.374772708486752,21.02403386603056,52.326284026290274,9927.612691881164,97109.26847134624,87440.19216210359
ThinBook,10000000,run_0,3396273.557165571,2944.403574,240,360,520,4160,290441,100000,100,39864,984596,551556,true,linux,5,745,2,632581600,952320,590151.68
ThinBook,10000000,run_1,3449707.451406007,2898.796533,240,360,520,3080,49560,100000,100,39836,1057884,558294,true,linux,8,611,1,632581600,1991680,1395482.32
ThinBook,10000000,run_2,3485615.6969067366,2868.933603,240,320,480,2360,46880,100000,100,39816,1060480,558504,true,linux,8,760,0,632581600,1731584,1107618.86
ThinBook,10000000,run_3,3500030.464965173,2857.117988,240,360,560,4240,59721,100000,100,39904,957520,531849,true,linux,5,855,1,632581600,1545216,1186672.64
ThinBook,10000000,run_4,3850321.0515897674,2597.186018,240,360,560,3040,64400,100000,100,39884,1073456,559492,true,linux,5,767,7,632581600,1444864,1094103.04
