scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,1000000,run_0,4337517.448694098,230.546623,200,280,1160,2320,92680,100000,10,39836,157104,112379,true,linux,1,16,5,61141608,116144,80737.6
ThinBook,1000000,run_1,4458909.006540047,224.270107,240,320,600,1280,2018652,100000,10,39872,156728,111959,true,linux,1,80,16,61118032,201870,172686
ThinBook,1000000,run_2,4286429.562215333,233.294397,200,320,1200,3440,62481,100000,10,39836,156900,112182,true,linux,1,38,0,61131504,193678,159476.4
ThinBook,1000000,run_3,3437621.0977229634,290.898843,200,280,480,1040,56841,100000,10,39836,156964,112247,true,linux,1,63,0,61138240,337038,245492.4
ThinBook,1000000,run_4,4871961.893891583,205.256121,200,320,520,1040,46000,100000,10,39836,156668,111871,true,linux,1,65,2,61138240,342158,288705.2
ThinBook,1000000,run_5,4759310.5297251595,210.114468,240,320,1240,3400,171760,100000,10,39844,156900,112186,true,linux,0,0,0,61151712,477326,425306.8
ThinBook,1000000,run_6,4302671.365579643,232.413753,200,320,1200,2360,32080,100000,10,39888,157056,112334,true,linux,0,0,1,61124768,578702,525249.2
ThinBook,1000000,run_7,4736425.701151214,211.129671,200,280,520,1040,47601,100000,10,39844,156948,112232,true,linux,0,0,1,61124768,565390,513370.8
ThinBook,1000000,run_8,3629129.158739771,275.548198,200,280,480,1000,30760,100000,10,39836,157024,112302,true,linux,1,58,2,61131504,721038,565185.2
ThinBook,1000000,run_9,4901816.82948713,204.005991,200,280,480,1000,48720,100000,10,39836,156720,111945,true,linux,0,0,1,61138240,776334,722676.4
ThinBook,1000000,mean,4372179.259374694,231.74781720000001,208,300,788,1792,260757.5,100000,10,39846.4,156901.2,112163.7,true,linux,0.6,32,2.8,61133861.6,430967.8,369888.6
ThinBook,1000000,stddev,475318.31290814676,28.003643061437344,16,20,338.49076796864045,954.7858398614843,587279.133912018,0,0,17.453939383417143,142.66099677206802,168.02502789763196,true,linux,0.4898979485566356,30.688760157425715,4.621688003316537,9291.041741376475,216812.96122224798,199807.61937609885
ThinBook,10000000,run_0,3001962.3804065017,3331.154336,280,360,1200,4560,66800,100000,100,39804,1178800,558980,true,linux,6,682,2,632581600,950441,685573.66
ThinBook,10000000,run_1,3333935.872229586,2999.457813,240,320,480,2480,94600,100000,100,39876,1076708,558676,true,linux,5,782,0,632581600,1582222,1248479.92
ThinBook,10000000,run_2,3323185.1025477382,3009.161299,240,360,481,2560,52040,100000,100,39828,1150116,555536,true,linux,6,810,0,632581600,1364110,1064753.84
ThinBook,10000000,run_3,3303680.7361285733,3026.926873,240,360,560,3640,55720,100000,100,39836,1174536,559156,true,linux,8,886,2,632581600,1593486,950076.08
ThinBook,10000000,run_4,3195039.5319174044,3129.851728,240,360,840,4320,74520,100000,100,39828,1116116,557470,true,linux,7,809,2,632581600,1725582,867357.36
ThinBook,10000000,run_5,3248025.9678013134,3078.793119,240,360,640,4200,73761,100000,100,39840,1067008,554430,true,linux,7,739,3,632581600,1423502,834855.6
ThinBook,10000000,run_6,3574689.344321422,2797.445886,200,280,480,2640,69400,100000,100,39892,1132308,555745,true,linux,5,735,1,632581600,1446030,1074645.68
ThinBook,10000000,run_7,3663600.656795525,2729.555139,240,320,480,2640,45000,100000,100,39820,1051332,557617,true,linux,7,786,3,632581600,1719438,1052322.48
ThinBook,10000000,run_8,3419361.043526348,2924.522995,240,360,560,3080,1137527,100000,100,39840,1132540,554563,true,linux,7,812,0,632581600,1237525,877065.07
ThinBook,10000000,run_9,3034801.348968714,3295.108592,200,320,480,2520,95880,100000,100,39864,1138352,561040,true,linux,7,799,1,632581600,1077390,755516.08
ThinBook,10000000,mean,3309828.1984643126,3032.197778,236,340,620.1,3264,176524.8,100000,100,39842.8,1121781.6,557321.3,true,linux,6.5,784,1.4,632581600,1411972.6,941064.5769999999
ThinBook,10000000,stddev,198876.41506083368,181.6947393811548,21.540659228538015,26.832815729997478,221.38674305386942,793.0094576989609,320719.5278587819,0,0,25.49039034616771,41671.46642776085,2086.4025043121474,true,linux,0.9219544457292888,52.4899990474376,1.1135528725660044,0,247747.9286997976,161437.15714674807
ActiveFill,1000000,run_0,8771464.936919747,114.006042,80,160,360,1400,33200,100000,10,39820,128236,112320,true,linux,1,27,3,140245664,1419406,1232628.4
ActiveFill,1000000,run_1,9152616.44702294,109.258375,80,160,320,600,40720,100000,10,39880,128620,113250,true,linux,1,15,2,140560568,1570958,1363290.8
ActiveFill,1000000,run_2,13047112.56243712,76.645311,80,160,280,560,32760,100000,10,39832,130396,114533,true,linux,0,0,1,140441056,1545358,1456679.6
ActiveFill,1000000,run_3,13178170.56603682,75.883067,80,160,320,600,15840,100000,10,39844,130008,114419,true,linux,0,0,0,140494744,1405851,1317787
ActiveFill,1000000,run_4,13056952.297639076,76.587551,80,160,1120,1680,47680,100000,10,39836,130716,114604,true,linux,0,0,0,140389608,1799067,1711003
ActiveFill,1000000,run_5,13151632.483206548,76.036188,80,160,320,560,60121,100000,10,39852,128852,112524,true,linux,0,0,0,140296808,1375271,1287207
ActiveFill,1000000,run_6,13027694.585815197,76.759552,80,160,440,1480,182001,100000,10,39848,130240,114472,true,linux,0,0,8,140434944,1768487,1680423
ActiveFill,1000000,run_7,9378315.146482578,106.628961,80,160,280,560,70441,100000,10,39840,130448,115289,true,linux,5,26,0,140386008,1091703,176045.7
ActiveFill,1000000,run_8,11414856.380788285,87.605132,80,160,280,1040,11384864,100000,10,39860,130648,115015,true,linux,4,24,0,140551640,127253,83193.7
ActiveFill,1000000,run_9,10176481.353755333,98.265792,80,160,280,1160,53040,100000,10,39852,128064,112291,true,linux,5,26,1,140386376,83005,59645
ActiveFill,1000000,mean,11435529.676010361,89.7675971,80,160,400,964,1192066.7,100000,10,39846.4,129622.8,113871.7,true,linux,1.6,11.8,1.5,140418741.6,1218635.9,1036790.32
ActiveFill,1000000,stddev,1785208.709445092,14.916577408152891,0,0,244.6221576227305,420.45689434233327,3397878.309544503,0,0,15.61537703675451,1000.3520180416491,1098.114024134106,true,linux,2.0591260281974,12.204917041913886,2.3769728648009427,95971.33592401432,588803.320695366,627438.9474554091
ActiveFill,10000000,run_0,8856403.169084974,1129.126555,80,160,1040,1760,72121,100000,100,39844,943604,495893,true,linux,33,261,2,1396529032,412940,136859.54
ActiveFill,10000000,run_1,10690984.614045972,935.367542,80,160,440,1480,1369608,100000,100,39844,989284,495069,true,linux,3,292,1,1397907864,964308,608181.28
ActiveFill,10000000,run_2,9939361.268894164,1006.100868,80,160,400,1440,230241,100000,100,39904,967188,493784,true,linux,2,254,0,1397139408,1383124,976821.28
ActiveFill,10000000,run_3,9518255.277384978,1050.612713,80,160,320,1440,43361,100000,100,39856,978960,498017,true,linux,8,216,0,1397989096,862208,372254.72
ActiveFill,10000000,run_4,9700536.681900911,1030.870799,80,160,360,1480,47000,100000,100,39828,955500,490896,true,linux,2,235,0,1397098048,1248256,809052.16
