scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,1000000,run_0,4391237.016034303,227.726264,200,280,1120,3760,64480,100000,10,39856,157036,112339,true,linux,1,16,6,61141608,115025,80441.2
ThinBook,1000000,run_1,3299478.0054222564,303.078244,240,320,640,2040,49720,100000,10,39944,156844,112125,true,linux,3,71,17,61118032,199822,169716.4
ThinBook,1000000,run_2,4304331.1759982435,232.324131,200,320,1240,2960,35960,100000,10,39804,157016,112290,true,linux,0,0,0,61131504,275598,223374
ThinBook,1000000,run_3,4404770.539160917,227.026582,200,280,480,1040,44600,100000,10,39848,156912,112193,true,linux,1,51,1,61138240,443534,294439.6
ThinBook,1000000,run_4,4966321.412802826,201.356279,240,320,600,1600,350041,100000,10,39828,156980,112260,true,linux,0,0,1,61138240,474254,422030
ThinBook,1000000,run_5,4871982.259475607,205.255263,200,280,520,1040,39040,100000,10,39844,157004,112313,true,linux,0,0,0,61151712,423054,370625.2
ThinBook,1000000,run_6,4899898.623547428,204.085855,200,280,480,1000,29920,100000,10,39856,157140,112403,true,linux,0,0,0,61124768,445582,392538.8
ThinBook,1000000,run_7,4828314.083569329,207.11163,200,280,480,1080,45200,100000,10,39936,157112,112384,true,linux,1,24,0,61124768,442510,390490.8
ThinBook,1000000,run_8,4527713.605235153,220.862026,240,320,520,1120,40800,100000,10,39844,156748,112055,true,linux,3,17,0,61131504,585870,211495.6
ThinBook,1000000,run_9,4513915.611896244,221.53715,200,320,1240,2800,38320,100000,10,39824,156676,111896,true,linux,0,0,1,61138240,222350,169511.6
ThinBook,1000000,mean,4500796.23331423,225.03634239999997,212,300,732,1844,73808.1,100000,10,39858.4,156946.8,112225.8,true,linux,0.9,17.9,2.6,61133861.6,362759.9,272466.32
ThinBook,1000000,stddev,460969.43947801425,28.101193936448407,18.33030277982336,20,311.9230674381104,950.8648694741015,92498.54389389059,0,0,43.53205715332093,143.65569950405725,152.08997337102798,true,linux,1.1357816691600549,23.577319610167734,5.102940328869229,9291.041741376475,141711.6580401556,111800.1856823932
ThinBook,10000000,run_0,3266002.7264375202,3061.846801,280,400,1080,4400,60121,100000,100,39840,1125960,552847,true,linux,7,715,1,632581600,727182,510160.66
ThinBook,10000000,run_1,3492713.6701379707,2863.10329,240,360,520,2720,176440,100000,100,39920,995024,550384,true,linux,5,775,0,632581600,1439886,1069515.44
ThinBook,10000000,run_2,3264574.0413204697,3063.186766,240,360,560,3520,38440,100000,100,39852,1036120,553881,true,linux,5,717,1,632581600,1404046,1073672.88
ThinBook,10000000,run_3,3062324.9550174326,3265.49277,240,400,600,4120,53001,100000,100,39848,1069636,558242,true,linux,8,963,3,632581600,2219150,1084312.24
