scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,1000000,run_0,4137925.8235499626,241.666971,200,280,440,1080,69921,100000,10,44156,169560,106102,true,linux,1,74,8,37141608,110798,71777.2
ThinBook,1000000,run_1,4816743.431748971,207.609148,200,280,520,1280,46840,100000,10,44168,169560,106239,true,linux,2,1,48,37118032,188558,146778.8
ThinBook,1000000,run_2,3485975.193228825,286.863774,200,280,520,1120,169641,100000,10,44036,169848,106202,true,linux,2,114,3,37131504,214158,188353.2
ThinBook,1000000,run_3,5121262.16742754,195.264364,160,240,800,1920,627403,100000,10,44156,169500,106073,true,linux,1,57,0,37138240,200846,181594.8
ThinBook,1000000,run_4,5432979.59764581,184.061063,200,280,560,1640,40360,100000,10,44196,169556,106187,true,linux,0,0,1,37138240,393358,350964.4
ThinBook,1000000,run_5,5838837.902631737,171.266957,160,240,440,1000,31601,100000,10,44108,169604,106150,true,linux,0,0,0,37151712,351374,308775.6
ThinBook,1000000,run_6,5683331.336494868,175.953141,200,280,560,1480,38760,100000,10,44048,169592,106169,true,linux,0,0,0,37124768,541838,500058.8
ThinBook,1000000,run_7,5803946.40496595,172.29656,160,240,440,960,242041,100000,10,44060,169852,106298,true,linux,0,0,3,37124768,426126,383937.2
ThinBook,1000000,run_8,4261572.998243917,234.655138,160,240,440,1040,30360,100000,10,44080,169848,106224,true,linux,1,57,3,37131504,587918,483265.2
ThinBook,1000000,run_9,6031298.773605358,165.801768,160,240,440,960,22520,100000,10,44132,169420,106060,true,linux,0,0,2,37138240,508046,465447.6
ThinBook,1000000,mean,5061387.362954294,203.54388840000001,180,260,516,1248,131944.7,100000,10,44114,169634,106170.4,true,linux,0.7,30.3,6.8,37133861.6,352302,308095.28
