scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,1000000,run_0,4129572.0117761353,242.155845,200,280,480,1040,52241,100000,10,44076,169264,105922,true,linux,1,73,8,37141608,110433,71755.9
ThinBook,1000000,run_1,5191521.375494834,192.621763,200,280,480,1120,25200,100000,10,44080,169944,106422,true,linux,0,0,16,37118032,190606,148212.4
ThinBook,1000000,run_2,5826626.84213833,171.625887,200,320,480,1080,40360,100000,10,44156,169768,106261,true,linux,1,5,1,37131504,180070,137676.4
ThinBook,1000000,run_3,4723331.94150911,211.714953,200,320,480,1120,28360,100000,10,44076,169448,105939,true,linux,1,23,0,37138240,205356,156405.9
ThinBook,1000000,run_4,4550588.519422158,219.751796,240,320,600,1960,21840,100000,10,44252,169548,106048,true,linux,4,76,2,37138240,232590,175246
ThinBook,1000000,run_5,5425746.411388264,184.306439,200,320,640,1760,30080,100000,10,44188,169620,106224,true,linux,0,0,0,37151712,325774,282766
ThinBook,1000000,run_6,5904294.863791903,169.368235,200,320,480,1120,36120,100000,10,44144,169304,105941,true,linux,0,0,0,37124768,389262,347687.6
ThinBook,1000000,run_7,5719726.219813551,174.833543,240,320,560,1280,250601,100000,10,44124,169196,105838,true,linux,0,0,0,37124768,458894,416500.4
ThinBook,1000000,run_8,5422312.468781036,184.42316,200,280,440,1000,49240,100000,10,44096,169524,105958,true,linux,1,90,0,37131504,297102,268020.4
ThinBook,1000000,run_9,5400274.735737016,185.175764,200,280,800,2360,52281,100000,10,44084,169676,106166,true,linux,1,43,1,37138240,350350,307137.2
ThinBook,1000000,mean,5229399.538985234,193.59773850000002,208,304,544,1384,58632.3,100000,10,44127.6,169529.2,106071.9,true,linux,0.9,31,2.8,37133861.6,274043.7,231140.82
ThinBook,1000000,stddev,555472.2665472283,22.437618729448673,16,19.595917942265423,104.61357464497617,447.642714673209,64857.615905998275,0,0,55.40974643508125,223.1415694127833,177.71856965438363,true,linux,1.1357816691600549,34.63812927974027,4.975942121849891,9291.041741376475,102700.06193966,103666.70187361803
ThinBook,10000000,run_0,4563211.521865235,2191.439067,240,360,560,3320,52280,100000,100,44308,840816,501707,true,linux,6,720,0,392581600,783502,615473.84
ThinBook,10000000,run_1,3847853.050661301,2598.851845,240,360,560,3080,44561,100000,100,44156,837400,501740,true,linux,9,803,1,392581600,956558,645354.16
ThinBook,10000000,run_2,3917340.0063904114,2552.752629,240,360,520,3000,50400,100000,100,44324,947496,507620,true,linux,7,821,0,392581600,1248398,940507.08
ThinBook,10000000,run_3,3855490.9941679398,2593.703374,240,360,520,3880,36800,100000,100,44144,942128,507595,true,linux,8,727,3,392581600,1549454,791448.24
ThinBook,10000000,run_4,4464997.365100128,2239.642979,240,360,520,2960,26961,100000,100,44004,959276,505465,true,linux,6,641,0,392581600,1137806,835449.52
ThinBook,10000000,run_5,3898235.63259044,2565.263094,240,400,560,2680,148561,100000,100,44052,839696,502961,true,linux,5,798,0,392581600,1389710,1051431.6
ThinBook,10000000,run_6,3654236.4203225733,2736.549815,240,360,560,3560,39480,100000,100,44128,841424,501451,true,linux,13,761,1,392581600,722062,433814.38
ThinBook,10000000,run_7,3820489.0000969735,2617.465984,240,400,600,3640,64720,100000,100,44136,838216,501454,true,linux,7,796,11,392581600,1187982,827390.64
ThinBook,10000000,run_8,3901864.420228263,2562.877364,240,360,560,4360,51760,100000,100,44120,932452,509695,true,linux,7,823,0,392581600,1210510,901948.08
