scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os
ThinBook,1000000,run_0,6948517.96484774,143.91558099999997,120,200,520,6800,608203,100000,10,1816,71516,43690,true,linux
ThinBook,1000000,run_1,7093989.537202524,140.96440299999998,120,160,680,7400,177161,100000,10,1816,71380,43452,true,linux
ThinBook,1000000,run_2,6964996.2135494575,143.575096,120,160,600,6680,48120,100000,10,1816,71060,43614,true,linux
ThinBook,1000000,run_3,7157413.430171992,139.715277,120,160,560,6880,48880,100000,10,1812,70764,43520,true,linux
ThinBook,1000000,run_4,7178924.315005886,139.296635,120,160,560,7240,43520,100000,10,1816,70644,43523,true,linux
ThinBook,1000000,run_5,7094565.197688462,140.952965,120,160,520,6761,41161,100000,10,1816,70684,43556,true,linux
ThinBook,1000000,run_6,7189012.968217359,139.101154,120,160,600,7000,58840,100000,10,1812,72016,43655,true,linux
ThinBook,1000000,run_7,7113286.094759128,140.58200200000002,120,160,560,7080,44240,100000,10,1804,71732,43589,true,linux
ThinBook,1000000,run_8,7281321.66822885,137.337704,120,160,560,6880,40720,100000,10,1820,71388,43692,true,linux
ThinBook,1000000,run_9,7078407.033377039,141.274724,120,160,520,6560,53360,100000,10,1816,71432,43542,true,linux
ThinBook,1000000,mean,7110043.442304844,140.6715541,120,164,568,6928.1,116420.5,100000,10,1814.4,71261.6,43583.3,true,linux
ThinBook,1000000,stddev,95498.04532067731,1.8941128150036017,0,12,46.647615158762406,243.767286566512,168516.26605420024,0,0,4.079215610874228,437.8865606524137,75.26626070159192,true,linux
ThinBook,10000000,run_0,7027427.114786692,1422.9959039999999,120,200,360,4240,88601,100000,100,1816,691656,336349,true,linux
ThinBook,10000000,run_1,7266151.833360481,1376.2442939999999,120,160,320,4520,98481,100000,100,1804,690068,335886,true,linux
ThinBook,10000000,run_2,7220897.805663967,1384.869343,120,160,360,3920,90400,100000,100,1816,689916,335953,true,linux
ThinBook,10000000,run_3,7137599.210005952,1401.0313139999998,120,160,360,4920,287522,100000,100,1816,689420,335820,true,linux
ThinBook,10000000,run_4,7142936.9702798845,1399.984354,120,160,360,4480,3336098,100000,100,1816,686720,334839,true,linux
ThinBook,10000000,run_5,6987743.604629956,1431.077121,120,160,360,3640,320481,100000,100,1816,689332,334370,true,linux
ThinBook,10000000,run_6,7079294.924765969,1412.570052,120,160,360,4280,81681,100000,100,1816,692960,336542,true,linux
ThinBook,10000000,run_7,6109370.224343479,1636.8299240000001,120,200,800,5880,127320,100000,100,1820,691516,336371,true,linux
ThinBook,10000000,run_8,7149291.1832039235,1398.740063,120,160,360,4160,78560,100000,100,1816,689720,335495,true,linux
ThinBook,10000000,run_9,6891428.73582262,1451.0779089999999,120,200,360,4320,78280,100000,100,1816,691496,336231,true,linux
ThinBook,10000000,mean,7001214.160686292,1431.5420277999997,120,172,400,4436,458742.4,100000,100,1815.2,690280.4,335785.6,true,linux
ThinBook,10000000,stddev,315193.5186791999,71.55200724887104,0,18.33030277982336,133.8656042454521,581.4327132179612,962880.2286159167,0,0,3.9191835884530852,1639.6667466287167,667.408750317225,true,linux
ActiveFill,1000000,run_0,13710869.24772135,72.934836,80,160,240,360,36121,100000,10,1820,20600,13284,true,linux
ActiveFill,1000000,run_1,13840472.0342813,72.251871,80,160,240,1160,31080,100000,10,1816,20584,13270,true,linux
